Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Afghanistan,62,62,62,60,57,59,64,62,60,59,55,53,50,48,39,35,37,27,31,31,38,42,41,40,25,22,19,20,22,34,31,14,14,14,9,8,,11
Albania,96,96,97,98,99,98,99,99,97,98,97,95,97,96,93,96,95,95,85,89,95,92,91,90,76,87,80,88,96,96,96,96,96,96,96,93,90,90
Algeria,88,94,95,95,95,95,95,95,92,88,92,91,83,81,84,81,83,80,83,84,92,90,89,88,87,86,85,83,82,81,73,67,68,,,,,
Andorra,99,97,96,96,95,98,99,99,98,98,94,91,94,98,96,98,97,97,97,90,90,,,,,,,,,,,,,,,,,
Angola,42,45,51,56,59,67,60,67,53,57,68,30,29,50,50,64,64,35,42,60,78,62,46,44,47,39,39,38,48,56,55,44,44,35,26,,,
Antigua and Barbuda,88,88,91,93,96,98,99,98,99,99,99,99,99,97,99,99,97,95,99,99,93,99,93,91,99,99,87,89,95,95,89,80,69,73,48,,,
Argentina,89,90,89,95,94,94,95,95,96,96,94,97,98,99,97,95,89,91,97,95,93,99,99,96,95,92,99,93,89,87,80,87,54,79,67,67,77,61
Armenia,96,97,97,97,97,97,97,97,96,94,92,92,94,92,94,91,93,92,92,94,92,89,96,95,95,93,,,,,,,,,,,,
Australia,95,95,95,94,94,94,94,94,94,94,94,94,94,94,94,94,92,91,88,82,85,87,87,86,86,86,86,86,85,77,68,68,68,68,68,,,
Austria,96,95,96,96,92,88,84,80,76,83,79,80,75,74,79,78,79,75,65,78,90,87,60,60,60,60,60,60,60,60,60,60,40,30,25,25,25,
Azerbaijan,98,98,98,98,98,94,92,89,85,79,75,69,67,67,67,66,68,67,68,67,66,65,64,60,49,52,,,,,,,,,,,,
Bahamas,90,89,94,92,92,91,90,94,98,90,96,88,85,89,90,94,94,93,86,92,93,92,90,88,88,94,93,86,87,78,87,85,79,63,66,65,,
Bahrain,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,94,99,94,95,95,93,90,87,88,87,85,78,78,78,78,65,59,54,50,45
Bangladesh,94,94,94,94,91,88,93,88,93,92,89,83,88,81,76,75,77,74,71,71,72,69,79,78,74,69,68,65,53,13,6,3,1,1,1,1,,
Barbados,92,92,96,95,87,90,93,85,94,94,75,92,93,98,90,91,93,94,86,97,92,99,92,97,92,90,92,87,85,84,85,84,88,84,55,53,47,41
Belarus,97,98,99,99,99,98,99,99,99,99,99,97,99,99,99,99,99,98,98,98,97,96,93,97,96,94,,,,,,,,,,,,
Belgium,96,96,96,96,96,96,95,95,95,93,92,92,88,82,82,82,82,82,82,80,76,73,85,78,70,87,67,85,75,75,50,90,82,74,66,58,50,
Belize,90,95,96,95,99,96,98,98,97,96,96,99,95,97,96,88,94,96,82,84,85,81,83,82,80,69,76,86,71,59,53,85,49,43,43,51,40,21
Benin,74,74,74,68,68,74,70,68,71,66,70,66,61,63,65,66,68,70,69,67,66,60,65,78,67,70,60,79,48,30,26,20,23,,,,,
Bhutan,97,97,97,97,94,95,95,95,94,99,95,90,93,87,88,78,78,78,77,71,84,85,85,81,84,86,89,93,79,64,58,51,44,36,21,20,21,21
Bolivia (Plurinational State of),83,94,95,89,87,92,96,88,93,92,86,88,89,90,96,91,88,84,79,65,51,61,58,64,57,57,54,53,59,58,57,55,21,20,13,15,17,13
Bosnia and Herzegovina,69,68,83,89,92,94,89,91,93,84,96,85,90,88,84,89,92,80,83,84,86,70,53,57,48,52,,,,,,,,,,,,
Botswana,97,97,97,97,97,97,97,96,96,95,95,94,93,93,92,92,91,91,90,89,89,89,89,88,88,88,88,87,87,87,87,91,85,82,79,75,70,63
Brazil,97,95,96,97,98,99,99,99,99,99,99,99,98,97,97,96,99,99,99,95,99,80,87,77,85,91,85,78,60,62,64,67,67,73,68,66,73,57
Brunei Darussalam,97,98,96,97,96,95,91,94,99,99,97,97,98,99,98,99,99,99,94,99,98,99,99,99,99,92,96,99,99,99,99,99,98,90,94,88,80,73
Bulgaria,94,92,92,93,95,94,95,97,96,96,96,96,96,95,96,92,90,89,96,95,93,95,94,93,88,92,98,99,99,99,99,99,99,98,98,90,98,98
Burkina Faso,88,88,88,88,82,87,89,92,94,94,94,88,84,78,76,64,63,48,36,24,41,40,43,45,50,60,69,79,66,52,37,40,38,,,,,
Burundi,90,93,93,94,98,93,93,92,91,84,88,92,87,78,76,75,73,72,70,68,77,79,80,42,69,69,74,74,73,46,54,59,32,27,54,40,28,
Cabo Verde,96,93,92,93,91,91,96,97,97,96,95,94,92,91,90,89,88,86,85,84,83,84,85,87,88,82,76,79,84,80,75,58,54,,,,,
Cambodia,84,84,84,83,79,84,88,90,92,89,79,78,79,80,65,52,59,65,63,54,50,56,62,50,36,33,39,34,39,39,53,54,29,27,,,,
Cameroon,77,78,79,80,83,82,76,79,74,80,74,73,68,64,61,53,51,49,46,47,43,39,46,38,32,37,48,56,56,48,44,44,39,31,25,21,16,
Canada,89,90,90,90,90,98,88,90,91,93,94,93,94,94,95,95,95,96,96,96,96,97,96,97,96,94,92,89,87,85,70,,,,,,,
Central African Republic,49,49,49,49,25,49,49,53,56,58,59,61,62,55,49,42,35,36,37,37,42,44,46,52,42,32,57,82,69,40,17,24,23,19,16,16,15,12
Chad,37,37,46,45,57,63,54,46,36,27,31,39,27,16,23,25,26,28,30,20,30,22,26,24,19,25,28,32,32,17,16,12,7,10,,,,
Chile,93,93,96,97,90,90,91,93,93,96,92,91,90,94,96,95,96,97,94,98,96,93,97,96,94,89,99,97,92,95,92,91,92,94,95,96,95,94
China,99,99,99,99,99,99,99,99,99,97,94,93,86,86,85,85,85,84,84,83,83,84,80,75,81,87,92,98,95,95,77,63,88,84,78,,,
Colombia,93,93,94,91,92,94,88,88,89,95,93,95,96,94,93,93,93,88,79,78,80,90,95,84,94,74,78,82,81,74,59,45,51,51,43,28,26,13
Comoros,90,90,90,86,85,85,79,72,79,76,65,66,67,76,67,71,70,70,69,67,49,43,69,59,56,51,40,87,85,40,71,71,18,42,,,,
Congo,70,67,80,80,80,80,83,75,63,69,59,61,54,65,50,37,35,34,23,21,18,42,38,47,55,60,64,75,75,73,69,69,67,52,59,55,49,49
Cook Islands,98,90,99,98,97,97,89,99,78,95,98,99,99,99,99,95,83,76,84,97,88,72,96,72,99,87,94,67,99,92,84,70,76,65,68,,,
Costa Rica,96,93,93,95,91,90,83,83,81,89,90,90,89,88,89,94,82,82,88,83,99,84,91,87,89,92,96,90,77,97,93,90,78,76,84,87,79,60
C̫te d'Ivoire,78,74,69,59,69,74,49,70,67,63,67,73,84,78,70,71,71,68,57,66,68,65,57,55,52,54,57,56,41,31,30,31,31,31,,,,
Croatia,89,90,93,94,94,95,96,96,95,98,96,95,96,96,95,95,94,93,92,91,91,92,92,90,90,90,,,,,,,,,,,,
Cuba,99,99,99,99,99,99,99,99,99,98,97,96,98,99,99,98,96,94,96,99,96,99,99,99,96,99,99,94,98,89,99,80,85,82,94,55,49,48
Cyprus,90,90,90,86,86,86,87,87,87,87,87,87,86,86,86,86,86,86,87,89,90,90,83,82,81,80,78,77,76,74,91,60,43,25,19,21,28,29
Czechia,97,98,99,99,99,98,98,98,98,97,98,97,97,97,97,98,97,97,97,95,96,97,96,97,98,,,,,,,,,,,,,
Democratic People's Republic of Korea,99,99,98,99,99,99,99,99,98,98,99,96,96,95,95,98,92,78,63,49,34,50,67,83,99,99,98,98,99,58,35,44,38,31,30,29,31,29
Democratic Republic of the Congo,80,77,79,77,76,72,74,74,72,64,68,63,61,57,49,42,35,46,15,20,20,21,27,39,33,25,17,38,41,44,41,39,40,30,30,25,23,18
Denmark,97,94,91,90,89,90,87,85,84,87,89,90,95,96,96,95,94,99,92,91,84,85,88,88,81,85,86,84,80,72,82,,,,,,,
Djibouti,75,75,74,71,80,83,84,85,84,73,74,67,65,60,66,62,49,50,23,21,31,41,41,42,41,41,53,85,75,68,22,19,27,20,18,15,,
Dominica,77,96,96,94,93,99,99,99,99,99,96,97,98,99,99,99,99,99,99,98,99,99,99,99,99,99,98,88,88,90,87,97,93,85,63,43,,
Dominican Republic,86,85,90,88,83,88,87,85,84,83,82,81,79,81,83,86,88,85,83,80,79,79,78,76,75,73,72,70,65,29,71,71,54,19,24,25,18,30
Ecuador,81,86,84,85,97,96,94,95,97,98,98,97,93,99,99,99,99,99,99,89,77,79,81,83,85,69,54,60,57,53,47,50,51,54,34,45,31,24
Egypt,94,95,92,93,96,93,96,96,95,92,97,98,98,97,98,97,97,98,96,98,92,92,89,89,89,89,89,86,86,85,76,78,74,47,41,41,41,41
El Salvador,85,90,95,95,94,93,89,92,91,95,99,98,99,93,90,93,95,97,94,99,98,94,93,80,86,55,54,98,73,63,48,51,71,41,46,43,44,45
Equatorial Guinea,30,30,27,44,42,35,51,51,51,51,51,51,51,51,51,51,51,51,51,82,82,81,81,80,79,82,85,88,18,46,32,17,11,,,,,
Eritrea,99,99,97,90,94,98,98,97,97,96,96,95,95,96,92,83,84,76,88,79,73,66,58,51,34,,,,,,,,,,,,,
Estonia,93,93,93,93,94,94,94,95,95,95,96,96,96,96,95,95,95,93,92,89,88,86,81,76,74,,,,,,,,,,,,,
Eswatini,89,89,89,97,96,88,87,94,94,94,94,93,93,93,93,93,93,92,92,92,92,82,94,94,85,85,80,85,85,85,65,74,54,50,46,38,30,
Ethiopia,65,66,65,54,55,62,68,64,59,54,49,44,40,35,35,36,35,36,37,44,51,54,38,54,22,12,17,38,23,15,13,10,12,8,7,7,3,4
Fiji,94,94,94,94,94,94,94,94,94,94,94,92,90,88,86,85,83,81,79,77,75,94,94,96,96,91,93,84,65,69,64,61,57,22,25,2,40,32
Finland,94,94,95,96,97,97,97,98,98,97,98,97,97,97,97,96,96,96,96,96,96,98,98,99,99,99,97,97,95,98,92,87,85,83,81,75,70,
France,90,90,91,91,90,91,89,89,89,89,90,89,87,88,87,86,85,84,83,82,83,84,83,80,78,76,74,71,58,51,45,39,35,26,15,,,
Gabon,63,64,68,61,70,71,72,62,63,67,62,55,55,55,55,55,55,55,55,56,56,57,57,60,63,66,71,76,76,68,67,66,58,,,,,
Gambia,90,97,97,96,96,95,91,92,96,92,88,89,91,92,90,90,89,89,90,90,91,94,91,89,87,83,87,86,85,80,88,62,75,79,70,71,70,69
Georgia,95,93,96,92,97,93,91,94,83,97,97,96,90,86,76,75,74,73,76,73,69,65,61,63,61,16,,,,,,,,,,,,
Germany,97,97,97,97,97,97,97,97,97,97,97,96,96,96,95,94,94,92,92,92,91,91,92,90,89,75,75,75,75,75,75,70,50,48,47,50,50,25
Ghana,95,89,89,92,89,88,91,93,93,86,95,85,83,83,80,78,78,90,81,78,73,71,70,68,66,64,63,61,65,59,51,31,21,10,16,21,23,16
Greece,97,97,97,97,99,99,99,99,99,99,99,98,96,95,94,92,91,89,88,89,90,90,70,70,72,72,72,76,76,82,81,39,77,75,,,,
Grenada,85,95,99,94,94,94,95,95,98,99,98,98,99,74,99,96,99,92,94,97,92,85,88,87,99,73,96,85,89,48,77,62,49,31,7,5,,
Guatemala,86,86,77,67,85,93,89,93,92,96,86,95,93,95,94,92,91,86,83,79,74,69,83,66,71,59,49,68,60,55,24,55,23,24,9,12,8,23
Guinea,48,48,48,28,39,51,62,58,53,55,57,51,51,50,48,46,44,42,40,52,56,61,61,58,55,52,42,35,27,27,28,28,29,29,30,34,15,
Guinea-Bissau,81,81,81,81,81,81,83,76,69,71,73,74,76,75,74,73,72,71,70,61,51,49,45,68,68,60,52,53,65,52,68,59,35,31,27,,,
Guyana,99,99,99,99,99,99,98,95,97,95,96,90,92,88,89,93,92,86,87,93,82,91,77,83,92,73,76,73,69,55,52,42,40,56,51,68,,
Haiti,53,53,53,53,65,65,65,64,63,62,60,59,58,57,57,56,55,55,54,53,52,50,49,48,44,39,35,31,31,59,23,26,21,8,6,3,,
Honduras,97,97,97,97,97,97,97,97,97,93,94,95,95,91,94,97,99,98,98,98,89,91,89,93,94,89,86,90,94,76,57,60,53,44,49,48,34,31
Hungary,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Iceland,92,91,93,90,91,90,94,93,92,96,95,95,90,93,93,91,88,91,94,96,99,99,99,98,99,99,99,99,99,99,97,95,96,96,81,,,
India,88,88,87,85,83,83,84,82,78,72,70,69,68,64,60,56,57,56,56,53,55,66,72,67,59,51,43,56,42,32,24,10,1,,,,,
Indonesia,75,76,75,75,81,82,80,78,74,76,76,79,77,76,74,72,76,76,77,77,77,79,63,66,68,65,61,58,54,51,48,45,26,13,6,,,
Iran (Islamic Republic of),99,99,99,99,98,98,99,99,99,98,97,99,94,96,99,99,96,99,99,99,95,99,95,97,96,96,84,85,79,83,55,55,62,38,38,55,48,39
Iraq,71,66,57,57,63,69,77,75,81,76,64,62,69,69,73,77,82,86,90,88,85,82,80,72,63,67,71,75,79,85,91,75,70,25,12,11,10,9
Ireland,92,92,93,93,92,92,92,90,90,89,87,86,84,81,78,73,73,79,77,77,77,77,77,78,78,78,78,78,78,68,66,65,63,10,10,,,
Israel,98,97,98,97,98,96,97,96,97,98,97,96,94,97,96,95,95,95,94,94,97,96,93,92,92,94,94,91,88,86,88,88,85,85,85,88,83,81
Italy,92,89,85,87,90,90,90,91,90,90,90,88,87,86,84,81,77,74,70,55,57,55,50,50,50,50,50,43,,,,,,,,,,
Jamaica,95,95,91,92,94,93,88,89,88,88,76,87,84,86,78,86,85,88,82,88,88,96,90,82,80,63,77,74,71,68,62,36,64,60,15,12,,
Japan,96,96,96,98,95,96,94,94,94,95,96,97,98,98,98,98,98,96,95,95,94,94,93,81,68,69,71,73,77,76,75,74,73,73,70,66,68,69
Jordan,93,96,94,98,97,98,98,98,95,95,95,99,95,99,96,95,99,94,83,93,95,94,92,91,88,91,85,87,84,87,87,81,73,65,56,48,40,29
Kazakhstan,99,99,99,99,99,96,99,99,99,99,99,99,99,99,99,95,95,99,99,99,97,97,95,91,91,89,,,,,,,,,,,,
Kenya,89,96,96,95,94,93,87,86,88,90,80,77,69,73,72,78,77,78,76,90,79,81,83,84,84,84,81,78,75,72,69,65,63,55,,,,
Kiribati,81,80,84,88,91,91,90,89,82,72,93,61,85,56,72,88,76,80,62,77,82,64,47,70,89,77,62,75,63,54,14,9,4,8,24,,,
Kuwait,99,99,93,94,99,99,99,98,99,99,99,99,99,97,97,97,99,99,96,99,95,99,98,98,95,85,75,66,98,97,95,93,91,88,80,79,71,48
Kyrgyzstan,95,97,99,96,99,98,97,99,99,99,99,97,99,99,99,98,99,98,99,98,98,98,97,88,93,94,,,,,,,,,,,,
Lao People's Democratic Republic,82,76,88,87,82,72,69,64,59,52,40,48,41,36,42,55,50,42,71,71,67,73,68,73,46,46,47,32,20,23,11,10,6,6,7,7,7,
Latvia,96,93,96,95,96,90,92,95,92,96,95,98,98,98,98,98,98,97,97,97,97,96,81,81,80,95,,,,,,,,,,,,
Lebanon,79,79,79,79,79,79,79,79,79,79,74,69,63,58,53,59,65,71,77,83,89,85,85,88,88,76,65,61,58,48,39,30,23,16,8,1,,
Lesotho,90,90,90,90,90,91,92,88,84,80,81,82,83,84,85,78,70,74,77,79,80,82,83,82,82,81,81,80,79,79,78,76,73,63,53,51,49,49
