Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Liberia,87,80,64,58,74,80,71,65,83,76,71,63,62,41,47,52,58,63,69,,,,,,,,,,,,,,,,,,,
Libya,94,97,98,93,96,98,98,98,98,98,98,98,97,99,96,91,93,93,92,92,91,93,92,92,91,88,87,89,79,76,75,78,75,76,71,65,66,61
Lithuania,94,94,94,93,93,93,94,96,96,97,97,97,97,98,98,98,97,97,97,97,96,96,94,93,92,89,,,,,,,,,,,,
Luxembourg,99,99,99,99,99,99,96,96,96,96,96,95,95,95,95,94,94,93,92,92,91,91,88,86,83,80,80,80,80,71,77,68,58,49,39,,,
Madagascar,58,58,58,64,63,61,62,66,63,70,81,71,74,79,65,61,59,57,55,51,46,46,55,63,54,54,54,47,44,36,28,18,6,1,,,,
Malawi,83,81,87,85,88,90,96,93,92,88,83,85,82,80,77,69,81,73,82,90,87,90,90,83,87,91,85,81,84,82,79,60,49,50,58,64,64,49
Malaysia,93,93,93,94,95,95,95,95,95,95,95,95,96,95,93,94,95,96,97,96,98,97,97,95,81,82,80,70,61,61,68,35,20,23,11,,,
Maldives,99,99,99,99,99,98,96,97,98,97,97,97,97,97,96,97,98,99,97,98,96,95,96,97,86,98,97,96,88,83,41,50,47,40,37,34,39,
Mali,61,61,61,61,62,67,72,78,73,71,66,68,73,63,57,56,54,49,51,54,56,57,52,46,51,35,42,43,40,23,11,27,19,,,,,
Malta,91,93,89,98,99,93,84,73,82,78,79,94,86,94,90,65,70,74,67,60,56,51,51,71,90,92,90,80,86,41,59,35,10,10,,,,
Marshall Islands,83,75,75,79,79,78,88,97,78,86,94,96,86,70,90,80,64,94,93,93,52,69,57,59,36,86,74,52,39,25,31,,,,,,,
Mauritania,78,72,70,75,80,75,67,67,59,65,67,62,65,73,84,87,58,46,62,62,64,66,67,53,49,43,32,38,42,45,27,40,41,42,43,44,45,
Mauritius,89,92,99,98,99,99,99,99,99,98,98,99,98,98,91,84,90,84,80,85,87,61,89,85,84,84,88,76,80,73,69,71,67,55,53,34,,
Mexico,96,96,97,97,89,99,98,95,96,96,96,96,96,96,96,96,95,96,94,96,91,93,90,90,79,88,89,75,85,70,54,60,64,21,23,37,33,35
Micronesia (Federated States of),76,70,74,83,91,91,92,80,86,86,92,83,96,85,91,88,84,85,79,82,74,82,90,83,80,78,76,81,94,84,69,,,,,,,
Monaco,87,88,88,89,90,90,91,92,92,93,94,94,95,96,96,97,98,98,99,99,99,99,99,99,99,98,98,99,99,99,,,,,,,,
Mongolia,99,98,98,98,97,99,98,97,94,97,98,99,97,99,98,98,95,92,93,93,91,89,85,80,84,84,82,92,86,70,61,11,18,20,1,6,12,17
Montenegro,58,47,64,76,88,90,91,90,86,89,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,99,99,99,99,99,99,99,98,98,96,95,95,97,95,90,94,96,93,90,91,92,93,88,87,83,81,80,79,82,81,73,58,45,42,35,17,,
Mozambique,85,85,85,85,85,82,82,82,80,77,75,76,78,79,80,77,74,71,67,64,61,58,71,65,62,56,55,59,48,44,37,39,39,50,51,58,32,
Myanmar,83,91,84,88,86,84,88,88,87,82,81,78,84,86,80,77,73,84,86,89,88,86,82,77,71,68,67,68,50,32,17,5,,,,,,
Namibia,80,75,85,83,82,76,74,75,76,73,69,63,73,70,70,68,58,69,65,64,59,61,68,70,71,76,76,,,,,,,,,,,
Nauru,95,98 98,98 98,98 98,97 97,96 96,99 99,99 99,99 99,99 99,99 99,99 99,80 80,67 67,53 53,40 40,95 95,8 8,49 49,90 90,99 99,,,,,,,,,,,,,,,,,
Nepal,90,83,85,88,88,86,88,86,90,79,81,85,74,73,75,71,71,71,81,67,73,65,56,58,58,58,57,57,57,58,37,37,34,24,11,2,2,
Netherlands,93,94,95,96,96,96,96,96,96,96,96,96,95,96,96,95,95,96,96,96,96,96,94,94,94,95,94,94,94,94,93,93,92,92,92,92,91,91
New Zealand,93,92,93,93,92,92,93,91,89,86,79,82,82,83,84,84,85,85,83,81,99,92,84,87,85,82,82,90,83,75,67,60,64,67,71,74,77,80
Nicaragua,99,99,99,99,99,99,99,99,99,99,99,99,96,84,93,98,99,86,87,91,86,85,85,84,84,83,54,82,63,63,47,51,59,56,41,40,20,15
Niger,78,76,75,73,76,75,69,67,69,66,60,53,47,45,43,41,39,37,35,35,35,38,40,19,19,21,28,25,14,24,27,27,27,22,16,18,19,
Nigeria,42,42,42,44,43,42,49,56,64,53,41,44,41,37,34,30,32,33,35,38,38,38,44,41,40,43,57,54,59,46,36,28,17,9,,,,
Niue,99,99,99,99,99,99,99,99,99,99,98,99,99,99,85,99,99,99,99,99,99,99,34,99,99,99,99,99,99,94,94,73,52,52,58,65,71,77
Norway,96,96,95,94,93,94,93,93,93,93,92,92,90,89,86,87,90,88,90,91,93,92,92,94,93,96,94,87,84,87,87,87,90,80,80,,,
Oman,99,99,99,99,99,99,99,99,99,98,97,96,98,98,98,99,99,99,99,98,98,98,98,97,95,96,96,98,94,87,86,79,65,53,34,24,10,22
Pakistan,76,75,75,71,68,63,59,57,56,56,57,59,61,63,62,60,59,57,56,54,52,50,47,53,52,52,51,50,48,46,43,41,38,33,19,3,2,1
Palau,96,96,95,83,99,91,85,39,75,97,91,98,98,99,99,99,91,83,96,74,83,99,99,41,32,94,98,98,98,99,98,98,,,,,,
Panama,98,95,93,90,92,98,97,97,96,96,95,95,99,97,95,95,95,97,90,96,92,90,84,84,83,76,80,73,73,73,78,74,84,72,85,64,76,71
Papua New Guinea,62,70,79,84,89,86,79,74,74,73,77,84,82,77,77,73,65,69,67,63,50,24,42,36,28,70,69,67,52,46,37,39,33,26,1,,,
Paraguay,92,85,78,84,88,88,91,93,91,91,91,91,91,91,91,86,90,92,82,71,61,81,75,76,96,87,74,69,58,63,56,46,48,62,37,26,16,19
Peru,83,88,92,89,85,94,96,94,91,92,92,93,77,85,95,95,97,97,93,93,91,87,98,75,75,83,74,64,52,52,56,41,53,35,28,32,26,23
Philippines,89,80,82,79,87,87,87,80,88,92,92,92,92,92,87,82,81,78,80,80,79,76,72,75,78,81,83,85,83,77,67,51,49,44,27,9,,
Poland,96,96,96,97,98,98,98,98,98,98,98,99,98,97,97,98,97,97,97,97,97,97,96,96,95,95,94,95,95,95,94,92,92,94,94,93,93,92
Portugal,98,98,98,98,98,97,97,96,95,97,95,97,93,95,96,93,90,87,92,96,96,99,94,91,95,99,96,85,96,84,81,75,70,48,48,46,49,54
Qatar,99,99,99,99,97,97,98,99,99,96,92,99,99,99,93,99,92,91,87,89,87,90,87,86,86,86,84,79,79,73,60,62,62,62,69,22,10,26
Republic of Korea,98,98,98,99,99,99,99,98,93,92,92,99,99,99,96,97,96,95,90,85,85,89,93,92,92,93,93,93,95,70,82,89,89,61,33,5,5,4
Republic of Moldova,93,88,89,90,91,91,91,97,90,95,96,96,97,96,96,94,94,89,93,93,95,90,91,85,64,73,,,,,,,,,,,,
Romania,86,86,86,89,92,94,93,95,96,96,97,95,97,97,97,98,98,98,98,97,97,94,93,91,93,91,92,92,90,78,90,81,88,86,83,,,
Russian Federation,98,98,98,98,98,98,98,98,98,99,99,99,99,98,98,98,97,97,97,94,91,88,85,81,88,83,,,,,,,,,,,,
Rwanda,95,95,96,97,95,97,95,95,95,92,94,95,89,84,90,69,69,74,78,72,66,76,84,25,74,82,89,83,83,79,78,79,52,53,53,48,42,
Saint Kitts and Nevis,93,98,95,93,99,95,99,99,99,99,99,99,99,98,98,99,90,99,99,99,97,99,99,99,99,99,99,99,90,77,91,96,91,85,,,,
Saint Lucia,87,99,97,99,99,99,91,95,99,99,94,94,94,95,90,98,89,88,95,90,95,95,94,92,94,75,97,82,91,83,81,91,68,60,36,43,,
Saint Vincent and the Grenadines,99,99,99,99,99,94,97,99,99,99,99,99,97,99,94,99,98,96,87,99,99,99,99,99,99,99,99,96,99,97,91,88,74,92,59,40,,
Samoa,58,68 68,69 69,82 82,90 90,76 76,59 59,56 56,45 45,44 44,63 63,54 54,57 57,25 25,62 62,99 99,92 92,93 93,91 91,99 99,99 99,96 96,96 96,94 94,92 92,90 90,77 77,89 89,82 82,75 75,78 78,91 91,81 81,83 83,78 78,59 59,,
San Marino,82,82,84,81,82,84,90,88,88,86,90,90,94,94,94,96,97,99,99,99,98,98,97,97,96,99,99,,,,,,,,,,,
Sao Tome and Principe,90,93,93,92,91,92,91,92,90,93,86,85,88,91,87,85,75,69,64,59,60,57,74,65,57,52,77,71,45,69,69,58,35,48,40,32,25,
Saudi Arabia,96,98,98,98,98,98,98,98,98,97,96,95,97,97,96,97,94,94,92,93,92,92,94,93,91,88,95,88,90,81,77,77,79,71,65,53,12,8
Senegal,90,93,80,80,84,83,84,81,79,77,84,80,74,57,60,54,48,48,60,62,65,70,80,59,58,57,54,51,48,60,66,71,,,,,,
Serbia,86,82,86,86,92,87,93,95,95,92,95,88,96,89,87,92,90,89,84,88,92,90,86,81,85,82,,,,,,,,,,,,
Seychelles,99,97,98,99,97,98,99,99,97,99,99,99,99,99,99,98,95,97,99,93,99,98,97,92,92,92,89,86,89,89,95,95,90,77,98,64,29,
Sierra Leone,80,85,78,80,85,86,84,82,80,73,60,65,71,76,73,62,50,37,62,,,,,,,,,,,,,,,,,,,
Singapore,95,95,95,95,95,95,95,95,95,95,95,95,96,95,93,94,95,96,97,96,98,97,97,95,87,89,92,84,81,87,94,85,75,85,88,78,57,47
Slovakia,96,95,95,97,98,99,98,98,99,99,99,98,98,99,99,99,99,98,99,99,99,99,99,97,,,,,,,,,,,,,,
Slovenia,93,92,94,94,94,95,96,95,95,96,96,96,94,94,94,93,94,95,98,93,82,93,93,91,90,90,,,,,,,,,,,,
Solomon Islands,84,82,75,76,76,87,77,74,69,71,90,99,87,87,82,78,83,91,99,66,68,90,68,60,64,70,76,70,92,69,58,31,,,,,,
Somalia,46,46,46,46,46,46,46,46,43,34,35,35,35,40,40,45,20,24,38,32,25,33,34,35,33,32,30,30,30,33,28,25,35,16,6,4,3,9
South Africa,60,75,76,71,66,68,68,64,70,67,63,65,62,62,62,65,69,72,75,79,82,76,76,76,85,85,85,79,84,68,75,64,70,70,74,,,
South Sudan,20,20,20,22,30,52,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,96,97,96,96,95,97,97,95,98,98,97,97,97,97,98,97,96,94,95,93,93,90,90,90,90,83,85,99,97,84,85,83,79,68,40,27,8,
Sri Lanka,99,99,99,99,99,99,99,99,97,98,98,99,99,96,99,99,99,99,95,94,94,89,87,84,86,82,79,80,76,68,60,45,20,3,,,,
Sudan,90,86,87,86,85,85,87,90,82,79,79,73,69,67,65,58,58,58,51,49,58,59,51,48,49,52,57,57,61,44,22,11,6,3,2,1,1,
Suriname,97,97,94,85,93,73,85,90,88,86,85,83,91,86,69,73,82,84,85,82,79,87,85,72,61,61,84,65,73,83,70,78,73,75,71,17,39,
Sweden,97,97,97,97,97,98,97,97,97,96,96,97,96,96,95,95,94,91,89,94,96,96,97,97,97,96,96,96,95,95,94,94,94,94,93,91,92,88
Switzerland,95,94,94,94,93,93,93,92,92,92,87,87,87,82,82,82,82,82,82,81,83,83,83,83,83,83,83,90,90,70,70,70,,,,,,
Syrian Arab Republic,67,62 62,53 53,54 54,58 58,61 61,80 80,82 82,82 82,81 81,81 81,81 81,81 81,82 82,83 83,84 84,80 80,84 84,86 86,87 87,84 84,85 85,85 85,86 86,86 86,84 84,84 84,87 87,86 86,52 52,37 37,64 64,27 27,23 23,19 19,22 22,14 14,13 13
Tajikistan,98,97,97,98,92,94,98,94,89,86,85,82,85,92,91,89,88,88,79,83,84,79,70,73,81,68,,,,,,,,,,,,
Thailand,99,99,99,99,99,98,98,98,98,98,96,96,96,96,96,94,94,94,96,96,93,92,91,86,80,74,79,80,66,63,52,45,26,5,,,,
Republic of North Macedonia,83,82,89,93,96,96,97,98,96,98,96,94,96,96,96,98,92,97,98,96,98,91,97,88,98,,,,,,,,,,,,,
Timor-Leste,70,70,70,74,70,73,62,66,70,73,63,61,48,55,55,56,,,,,,,,,,,,,,,,,,,,,,
Togo,91,87,85,82,72,72,72,68,66,63,71,78,70,70,68,48,40,58,57,40,43,48,53,57,60,64,69,73,78,62,74,43,27,11,,,,
Tonga,85,84 84,85 85,85 85,86 86,81 81,85 85,86 86,87 87,89 89,90 90,90 90,92 92,93 93,93 93,85 85,89 89,92 92,95 95,95 95,97 97,95 95,94 94,86 86,87 87,87 87,90 90,86 86,84 84,81 81,88 88,37 37,81 81,43 43,67 67,44 44,9 9,
Trinidad and Tobago,93,86,89,96,91,85,92,92,94,91,91,89,93,95,88,87,91,90,88,90,88,88,84,86,87,83,93,70,59,72,68,42,32,10,,,,
Tunisia,98,96,98,98,94,96,96,97,98,98,98,98,96,95,90,94,92,95,90,94,92,92,91,91,92,94,94,93,93,87,81,67,65,55,42,43,,
Turkey,96,98,97,94,98,96,98,97,97,97,96,98,91,81,75,83,91,87,82,81,79,72,65,76,72,78,73,78,71,82,67,64,61,62,63,64,52,27
Turkmenistan,99,99,99,99,99,99,99,99,99,99,99,99,99,97,97,88,98,96,97,99,99,98,92,90,84,76,,,,,,,,,,,,
Tuvalu,95,96,94,94,96,98,98,85,90,93,95,84,62,97,95,99,99,81,94,96,99,94,94,79,64,66,63,95,79,90,65,65,92,71,65,,,
Uganda,80,80,80,85,84,83,75,73,77,70,75,75,68,66,64,62,59,57,55,50,54,55,57,59,57,56,54,52,51,49,38,27,17,18,20,21,22,
Ukraine,86,42,56,56,79,79,67,56,75,94,97,98,96,99,99,99,99,99,99,96,97,92,97,96,94,90,,,,,,,,,,,,
United Arab Emirates,99,99,99,99,98,96,95,94,93,92,92,92,92,94,94,94,94,94,96,95,95,90,90,90,90,85,82,80,78,74,71,67,60,53,51,41,42,34
United Kingdom of Great Britain and Northern Ireland,92,92,93,93,93,92,90,89,86,86,86,85,82,81,82,85,85,88,88,87,91,92,92,91,91,92,90,87,84,80,76,71,68,63,60,58,55,53
United Republic of Tanzania,99,90,99,99,99,97,93,92,91,88,90,93,91,94,97,89,86,78,72,72,73,78,78,79,77,81,79,80,79,83,78,97,66,55,60,50,51,46
United States of America,92,92,92,92,92,91,92,92,90,92,92,92,92,93,93,91,91,91,92,92,91,91,88,89,84,83,87,90,94,98,82,97,97,98,98,97,97,86
Uruguay,95,95,96,96,96,96,95,95,94,95,96,94,95,95,95,95,94,89,99,96,92,89,90,90,90,93,96,97,82,72,88,82,59,66,65,52,55,50
Uzbekistan,99,99,99,99,97,99,99,98,95,98,98,98,99,98,99,97,99,99,96,95,96,95,91,71,82,84,,,,,,,,,,,,
Vanuatu,80,84,76,90,84,79,75,70,65,61,56,52,53,55,56,58,59,61,62,64,65,61,60,53,74,66,63,66,50,46,34,22,26,18,23,20,,
Venezuela (Bolivarian Republic of),96,88,92,89,85,87,86,79,87,93,87,82,76,80,83,83,98,84,84,92,68,64,47,94,62,61,63,61,50,51,54,48,56,41,42,45,43,50
Viet Nam,97,99,97,97,98,96,96,98,97,92,83,93,95,97,93,96,98,97,94,96,96,96,95,96,93,90,88,88,76,56,36,39,19,4,3,1,,
Yemen,65,70,67,67,70,63,66,68,65,69,71,65,73,74,64,62,72,70,74,66,41,43,40,31,51,46,53,69,48,34,22,15,13,8,6,4,4,2
Zambia,96,93,90,85,80,82,83,96,90,87,93,85,85,85,84,84,84,85,85,86,86,86,86,96,91,85,80,90,80,80,80,58,58,57,56,,,
Zimbabwe,90,95,86,92,93,97,92,90,76,70,69,68,67,66,68,70,73,75,77,79,84,88,87,87,86,86,87,87,87,88,88,83,78,62,60,58,56,
